,0,1,2,3,4,5,6,7
0,-0.17102812,-0.06948365,-1.504705,0.29184073,0.42408177,-0.19830036,-0.35379493,-1.374729
1,0.5070267,-1.6961231,0.011919245,0.36634123,-0.7421433,1.8777112,0.41852915,-0.05459524
2,-1.1663092,-0.96618474,-1.4412775,-1.802746,0.34613717,1.0289516,-1.7730539,2.0643308
3,-0.010583878,-0.18315104,1.8021307,4.3264604,1.1717818,-0.03574712,-0.9699311,0.2585778
4,0.01689586,-0.198656,1.564149,1.1423001,-0.7653878,1.3520827,0.45524967,1.1983645
5,0.030876175,0.42356744,-1.332546,-0.032537766,-1.0903866,0.30105323,-1.1509812,-0.7859422
6,2.1661928,0.854023,0.6440197,0.45907593,-0.7923683,1.5602086,-1.7397474,-0.52831006
7,0.05382362,1.0001683,1.0493739,-1.2203926,-0.6320442,1.3189762,-0.044242367,-1.6162257
8,1.0427848,-1.5486828,0.54960155,0.6065641,-0.24418777,0.58402795,-0.087894425,0.17605586
9,-2.4164982,1.7568413,-0.85536927,1.784255,-0.80745625,-0.93496233,-0.75517726,1.9493119
10,2.84784,-1.0837831,-0.65430725,-0.96078825,-0.041344866,1.2685963,-0.41349512,-0.034076557
11,2.5752347,0.12280305,-0.5455677,-0.6136694,0.5027061,-1.2694796,0.056318104,-1.7013713
12,-0.875131,0.73392063,0.6945857,-1.1555572,-0.14067261,-0.41160613,-0.38009688,-0.056796063
13,-0.5411779,-0.35940373,0.9000842,1.2166439,-0.6470172,0.12309751,1.1941661,-1.5652038
14,-0.17322132,1.3786557,-0.52142054,0.059446692,0.5449981,-0.9497282,1.6477079,-0.6652426
15,0.10937528,0.12940396,0.11296755,-0.559806,1.1278515,-1.9066705,1.2590675,1.4750936
16,-0.4267812,-0.58722806,-0.5066975,-0.3329095,-1.2846389,0.8479586,0.2511654,-0.058824003
17,0.21888925,0.08935496,-0.96277946,-0.5034834,-0.98919463,1.0967909,0.12300499,0.43023553
18,0.36900228,-1.0228196,0.9537459,0.5367973,-1.1742157,-0.6594245,-0.013059437,1.6061218
19,0.63744235,-0.09846208,-1.3082416,0.63709205,1.259041,-0.54470634,0.5496525,0.30657896
20,-1.0124223,-0.35337976,1.1968688,-0.0800048,-0.5334272,0.33500892,-0.21344922,0.90258634
21,1.9587328,-2.2869475,-0.21682194,-1.2527107,-0.88447803,1.1168149,-1.784564,0.96118045
